date,eur001mindex,eur002mindex,eur003mindex,eur006mindex,eur009mindex,eusa1fcurncy,eusa2curncy,eusa3curncy,eusa4curncy,eusa5curncy,eusa6curncy,eusa7curncy,eusa8curncy,eusa9curncy,eusa10curncy,eusa12curncy,eusa15curncy,eusa20curncy,eusa30curncy
Jul.00,4.416999817,4.532000065,4.640999794,4.920000076,5.063000202,5.358500004,5.440000057,5.53000021,5.585000038,5.635000229,5.684999943,5.735000134,5.777999878,5.813000202,5.836999893,5.887000084,5.956999779,6.020999908,6.026000023
Aug.00,4.741000175,4.804999828,4.888000011,5.092000008,5.209000111,5.428500175,5.519999981,5.590000153,5.650000095,5.709000111,5.761499882,5.815999985,5.855999947,5.888000011,5.903999805,5.943999767,6.004000187,6.06400013,6.068999767
Sep.00,4.790999889,4.84800005,4.995999813,5.063000202,5.132999897,5.27850008,5.347499847,5.434999943,5.514999866,5.590000153,5.65500021,5.724999905,5.777999878,5.795000076,5.84499979,5.90500021,5.994999886,6.070000172,6.090000153
Oct.00,4.956999779,5.114999771,5.139999866,5.202000141,5.249000072,5.341499805,5.398799896,5.449999809,5.505000114,5.571499825,5.644999981,5.705999851,5.760000229,5.804999828,5.840000153,5.918000221,6.015999794,6.09100008,6.085999966
Nov.00,5.031000137,5.039000034,5.051000118,5.068999767,5.078999996,5.048500061,5.110000134,5.15500021,5.230000019,5.300000191,5.394999981,5.460999966,5.522999763,5.574999809,5.623000145,5.724999905,5.855000019,5.940000057,5.960000038
Dec.00,4.856999874,4.856999874,4.855000019,4.833000183,4.782999992,4.670499802,4.710000038,4.78000021,4.889999866,5.010000229,5.119999886,5.243999958,5.342999935,5.427999973,5.494999886,5.614999771,5.752500057,5.875,5.90500021
Jan.01,4.789000034,4.769000053,4.743999958,4.627999783,4.559000015,4.541500092,4.60379982,4.704999924,4.789999962,4.894999981,4.998799801,5.106999874,5.197999954,5.274000168,5.336999893,5.453999996,5.597000122,5.742000103,5.787000179
Feb.01,4.808000088,4.788000107,4.770999908,4.638999939,4.548999786,4.579999924,4.605000019,4.690000057,4.78000021,4.863999844,4.967999935,5.088500023,5.175499916,5.243999958,5.306000233,5.425499916,5.558000088,5.705999851,5.768499851
Mar.01,4.697999954,4.605000019,4.56099987,4.423999786,4.350999832,4.310500145,4.372499943,4.474999905,4.590000153,4.706500053,4.826499939,4.949999809,5.046999931,5.131999969,5.203000069,5.327000141,5.486000061,5.645999908,5.721000195
Apr.01,4.822000027,4.815999985,4.802000046,4.741000175,4.710999966,4.802499771,4.855000019,4.90500021,5.019000053,5.117000103,5.214000225,5.281000137,5.362999916,5.430500031,5.477000237,5.597000122,5.736999989,5.881999969,5.943500042
May.01,4.573999882,4.556000233,4.531000137,4.446000099,4.434999943,4.50549984,4.599999905,4.74450016,4.897500038,5.041999817,5.171999931,5.297999859,5.400499821,5.488999844,5.557499886,5.68200016,5.824999809,5.965499878,6.032999992
Jun.01,4.522999763,4.46600008,4.440999985,4.373000145,4.335000038,4.419499874,4.480000019,4.643499851,4.78399992,4.934000015,5.089000225,5.234000206,5.343500137,5.443999767,5.516499996,5.652999878,5.807499886,5.952499866,6.023499966
Jul.01,4.513999939,4.480999947,4.443999767,4.335999966,4.263000011,4.27850008,4.326000214,4.461500168,4.592999935,4.741000175,4.884500027,5.010000229,5.114999771,5.203000069,5.278999805,5.412000179,5.570000172,5.706999779,5.756999969
Aug.01,4.315000057,4.289999962,4.252999783,4.123000145,4.019000053,4.006499767,4.082499981,4.250999928,4.426000118,4.578000069,4.735000134,4.875999928,5.00330019,5.102000237,5.178999901,5.323999882,5.479499817,5.625299931,5.685500145
Sep.01,3.726999998,3.677999973,3.655999899,3.546000004,3.505000114,3.583499908,3.729000092,3.991499901,4.241000175,4.453999996,4.649499893,4.804500103,4.949999809,5.071000099,5.164999962,5.334000111,5.524000168,5.692800045,5.771999836
Oct.01,3.64199996,3.59100008,3.522000074,3.34800005,3.240999937,3.230499983,3.345499992,3.601799965,3.837500095,4.050000191,4.234000206,4.385000229,4.50549984,4.606299877,4.709000111,4.838799953,4.998799801,5.146299839,5.216300011
Nov.01,3.424999952,3.390000105,3.359999895,3.242000103,3.200000048,3.410000086,3.620500088,3.924499989,4.130000114,4.311500072,4.480999947,4.618800163,4.730500221,4.813799858,4.886300087,5.017499924,5.151299953,5.278800011,5.309999943
Dec.01,3.329999924,3.315999985,3.29399991,3.256000042,3.263999939,3.619999886,3.895800114,4.233300209,4.464000225,4.671500206,4.847000122,4.984499931,5.100500107,5.184000015,5.249499798,5.373000145,5.457499981,5.53249979,5.534999847
Jan.02,3.352999926,3.359999895,3.371000051,3.411000013,3.496000051,3.875499964,4.116000175,4.40350008,4.584499836,4.737800121,4.860000134,4.96449995,5.051000118,5.108500004,5.15500021,5.233799934,5.316299915,5.376299858,5.358799934
Feb.02,3.342000008,3.355000019,3.365999937,3.411999941,3.497999907,3.910000086,4.080500126,4.334300041,4.571499825,4.732800007,4.87349987,4.983500004,5.072500229,5.136300087,5.196000099,5.281300068,5.378799915,5.476299763,5.473800182
